MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.14;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288525;318557
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288526;318557
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;32.2;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288524;318557
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288527;318557
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288523;318557
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;9.94;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288536;318559
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288539;318559
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288535;318559
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;137;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288538;318559
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.19;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288537;318559
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;12;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288534;318559
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.13;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288579;318566
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288576;318566
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288581;318566
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288577;318566
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288580;318566
COMB;;Lithuania;MRLT;K22;2007;17/05/2007;55.73500000;21.05000000;;;;10;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288578;318566
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288593;318568
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288589;318568
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288592;318568
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;9.72;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288590;318568
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288588;318568
COMB;;Lithuania;MRLT;BMPJ2;2007;17/05/2007;55.88166667;20.34166667;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.84;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288591;318568
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.22;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288633;318575
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;79.8;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288634;318575
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288631;318575
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288630;318575
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288632;318575
COMB;;Lithuania;MRLT;J56;2007;08/08/2007;56.02833333;20.83333333;;;;10;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288635;318575
COMB;;Lithuania;MRLT;K41;2007;09/08/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288646;318577
COMB;;Lithuania;MRLT;K41;2007;09/08/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288647;318577
