MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;;Germany;IFOG;OMBMPM1;2005;11/02/2005;54.466;12.21533333;;;;15.5;;BF;;I-MET;CU;W;;36950;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310578;319604
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPM1;2005;11/02/2005;54.466;12.21533333;;;;15.5;;BF;;I-MET;CU;W;;36950;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310577;319604
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK8;2005;11/02/2005;54.72316667;12.78266667;;;;5.5;;BF;;I-MET;CU;W;;30770;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310585;319629
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK8;2005;11/02/2005;54.72316667;12.78266667;;;;5.5;;AF;;I-MET;CU;W;;0.471;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318493;319629
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK8;2005;11/02/2005;54.72316667;12.78266667;;;;5.5;;BF;;I-MET;CU;W;;30770;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310586;319629
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK8;2005;11/02/2005;54.72316667;12.78266667;;;;5.5;;AF;;I-MET;CU;W;;0.471;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318494;319629
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;5.5;;BF;;I-MET;CU;W;;35720;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310593;319686
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;5.5;;AF;;I-MET;CU;W;;0.486;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318474;319686
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;5.5;;AF;;I-MET;CU;W;;0.486;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318473;319686
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;5.5;;BF;;I-MET;CU;W;;35720;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310594;319686
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;35.5;;BF;;I-MET;CU;W;;38290;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310606;319693
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;35.5;;AF;;I-MET;CU;W;;0.446;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318471;319693
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPK5;2005;12/02/2005;54.9245;13.49533333;;;;35.5;;BF;;I-MET;CU;W;;38290;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310605;319693
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
