Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Pb;SM_GP2-4_16;GP;SM;96.941;88.213;-86.507;280.39;130.252;73.593;-22.793;283.297;153.7783;76.6535;-5.6313;313.188;52.0753232;47.38676603;-46.47032715;150.6215107;69.9033704;39.49573702;-12.23249947;152.0392403;82.49464616;41.12090821;-3.020921033;168.010267;1.586308167
Zn;SM_GP2-4_16;GP;SM;11.4596;3.9505;3.2441;19.6752;13.0933;0.57833;11.89059;14.29601;14.9599;3.9301;6.7868;23.1329;7.44743948;2.567376668;2.108296836;12.78664711;8.09487479;0.357549964;7.351304654;8.838444926;8.83460837;2.320930912;4.007962626;13.66119506;1.305446961
Ag;TB_GP2-4_11;GP;TB;17.965;17.817;-19.088;55.018;420.26;289.68;-182.15;1022.68;2472.7;3752.4;-5330.7;10276.2;0.004594843;0.00455699;-0.004882069;0.014071755;0.105249052;0.072546865;-0.045617272;0.256117881;0.61876954;0.939002233;-1.333956722;2.571520826;137.6398553
Cd;TB_GP2-4_11;GP;TB;4.33963;0.56324;3.16831;5.51094;4.723223;0.049015;4.62129;4.825156;5.4913;1.1572;3.0847;7.8979;3.060555917;0.397229145;2.234473888;3.886630894;3.319826426;0.034451325;3.248180461;3.39147239;3.83896967;0.808998908;2.156514804;5.521424536;1.265384376
Co;TB_GP2-4_11;GP;TB;14.9778;3.9823;6.6962;23.2593;32.1288;4.7755;22.1976;42.0599;68.919;17.774;31.956;105.883;9.59516294;2.551163547;4.289757513;14.9005043;20.43974024;3.038083573;14.12169698;26.75771988;43.7021837;11.27065995;20.26359904;67.14140247;4.601410087
Cu;TB_GP2-4_11;GP;TB;1.642597;0.063268;1.511024;1.774171;2.1075;0.02386;2.05788;2.15712;2.424463;0.042421;2.336243;2.512683;6.520861073;0.251164369;5.998536209;7.043189906;7.98181875;0.090365929;7.793890946;8.169746554;8.977874978;0.157086511;8.651193098;9.304556857;1.475993807
Ni;TB_GP2-4_11;GP;TB;0.940586;0.437874;0.029978;1.851194;6.40765;0.91241;4.51019;8.30512;43.6515;16.5444;9.2456;78.0574;0.695901627;0.323965304;0.022179513;1.369623742;3.62187428;0.51573265;2.549349786;4.694404426;23.5547828;8.927522503;4.989017556;42.12054804;46.40883449
Pb;TB_GP2-4_11;GP;TB;28.5354;5.6831;16.4877;40.583;56.5866;2.6431;50.9834;62.1897;83.15;10.128;61.679;104.621;15.46464608;3.079933351;8.935443175;21.99379479;30.47764832;1.423578591;27.45975435;33.49548843;44.69438;5.443952864;33.15339343;56.23536657;2.913924459
Zn;TB_GP2-4_11;GP;TB;6.3453;0.9092;4.4545;8.2361;9.7154;0.39471;8.89457;10.53624;14.8754;1.7495;11.2371;18.5138;5.42064239;0.776708439;3.805375873;7.035908907;6.75621302;0.274486366;6.185397373;7.327035621;8.80112102;1.035102332;6.648498663;10.95380254;2.344317842
Ag;TB_GP2-4_13;GP;TB;20.70918;9.49708;0.95893;40.45944;231.21;30.184;168.439;293.98;897.57;217.27;445.73;1349.4;0.005281437;0.002422029;0.000244555;0.010318321;0.057948742;0.007565092;0.042216289;0.073680944;0.224672014;0.05438516;0.111571306;0.337770219;43.34164849
