Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Ni;TB_GP2-4_9;GP;TB;EC50;6.97514312;1.102980866;4.636867715;9.313363486;
Pb;TB_GP2-4_9;GP;TB;EC50;31.3293656;8.190719014;13.96622601;48.69250519;
Zn;TB_GP2-4_9;GP;TB;EC50;7.71890498;0.477513735;6.725869628;8.711940332;
Ag;SM_GP2-4_13;GP;SM;EC95;0.057494129;0.003093349;0.05093649;0.064051767;5.629400404
Cd;SM_GP2-4_13;GP;SM;EC95;31.54492175;4.016467808;23.2889169;39.8009266;7.84888335
Co;SM_GP2-4_13;GP;SM;EC95;57.4015955;6.39759903;44.09755512;70.70563588;9.855590601
Cu;SM_GP2-4_13;GP;SM;EC95;11.72355265;0.207748911;11.29151553;12.15558977;1.461455089
Ni;SM_GP2-4_13;GP;SM;EC95;16.51893656;1.560741214;13.21030815;19.82756497;11.03844693
Pb;SM_GP2-4_13;GP;SM;EC95;53.9362136;5.388894731;42.72926767;65.14315953;1.802804258
Zn;SM_GP2-4_13;GP;SM;EC95;9.77617754;0.239613853;9.277889;10.27446608;2.127238191
Ag;SM_GP2-4_19;GP;SM;EC95;0.068685324;0.005996517;0.056215215;0.081155684;15.26988937
Cd;SM_GP2-4_19;GP;SM;EC95;37.26513104;5.970155372;24.84952466;49.6806696;12.45615626
Co;SM_GP2-4_19;GP;SM;EC95;46.0593981;5.575921683;34.46361637;57.65517983;14.09605896
Cu;SM_GP2-4_19;GP;SM;EC95;9.463699193;0.109396894;9.236194163;9.691204222;1.512766414
Ni;SM_GP2-4_19;GP;SM;EC95;22.77403304;1.560561053;19.52865763;26.01940845;5.991996035
Pb;SM_GP2-4_19;GP;SM;EC95;62.41346048;2.306547296;57.52383146;67.30314318;2.71892438
Zn;SM_GP2-4_19;GP;SM;EC95;8.328545159;0.250880218;7.806807799;8.850282519;2.102875928
Ag;SM_GP2-4_20;GP;SM;EC95;0.027447085;0.001203066;0.024945202;0.029948968;1.838371011
Cd;SM_GP2-4_20;GP;SM;EC95;35.6209367;4.103058708;27.08813745;44.15380378;12.42687706
Co;SM_GP2-4_20;GP;SM;EC95;75.72343645;5.311974224;64.6766049;86.77033134;14.77839484
Cu;SM_GP2-4_20;GP;SM;EC95;9.869989875;0.133060007;9.593275934;10.14670746;1.341590213
Ni;SM_GP2-4_20;GP;SM;EC95;13.23377192;0.758276215;11.65682677;14.81077138;5.482528968
Pb;SM_GP2-4_20;GP;SM;EC95;69.27873848;1.879922169;65.29348381;73.26399315;3.090706444
Zn;SM_GP2-4_20;GP;SM;EC95;8.368932092;0.203946898;7.944791998;8.793066115;2.033570156
Ag;SM_GP2-4_16;GP;SM;EC95;0.026498852;0.004484243;0.016992407;0.036005298;58.5261815
Cd;SM_GP2-4_16;GP;SM;EC95;10.56246464;4.994391353;0.176066505;20.94886962;1.695506112
Co;SM_GP2-4_16;GP;SM;EC95;69.3937973;22.35150324;22.91146268;115.8767654;15.35381424
Cu;SM_GP2-4_16;GP;SM;EC95;10.75287525;0.646402731;9.408630952;12.09711955;1.680666127
Ni;SM_GP2-4_16;GP;SM;EC95;7.58296976;5.537147253;-3.932174647;19.09811417;1.016728515
Pb;SM_GP2-4_16;GP;SM;EC95;82.49464616;41.12090821;-3.020921033;168.010267;1.586308167
Zn;SM_GP2-4_16;GP;SM;EC95;8.83460837;2.320930912;4.007962626;13.66119506;1.305446961
Ag;TB_GP2-4_11;GP;TB;EC95;0.61876954;0.939002233;-1.333956722;2.571520826;137.6398553
Cd;TB_GP2-4_11;GP;TB;EC95;3.83896967;0.808998908;2.156514804;5.521424536;1.265384376
Co;TB_GP2-4_11;GP;TB;EC95;43.7021837;11.27065995;20.26359904;67.14140247;4.601410087
Cu;TB_GP2-4_11;GP;TB;EC95;8.977874978;0.157086511;8.651193098;9.304556857;1.475993807
Ni;TB_GP2-4_11;GP;TB;EC95;23.5547828;8.927522503;4.989017556;42.12054804;46.40883449
Pb;TB_GP2-4_11;GP;TB;EC95;44.69438;5.443952864;33.15339343;56.23536657;2.913924459
Zn;TB_GP2-4_11;GP;TB;EC95;8.80112102;1.035102332;6.648498663;10.95380254;2.344317842
