Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Zn;SM_GP2-4_16;GP;SM;11.4596;3.9505;3.2441;19.6752;13.0933;0.57833;11.89059;14.29601;14.9599;3.9301;6.7868;23.1329;7.44743948;2.567376668;2.108296836;12.78664711;8.09487479;0.357549964;7.351304654;8.838444926;8.83460837;2.320930912;4.007962626;13.66119506;1.305446961
Ag;SM_VG1-2_13;VG;SM;45.2514;5.4117;33.7791;56.7237;165.344;6.1247;152.3602;178.3278;342.571;22.785;294.269;390.873;0.0114219;0.001365967;0.008526178;0.014317622;0.041469069;0.001536104;0.038212669;0.044725468;0.085811264;0.005707458;0.073712004;0.097910524;7.570395612
Cd;SM_VG1-2_13;VG;SM;6.71705;0.57952;5.52584;7.90826;10.95787;0.64113;9.64002;12.27573;26.171;5.196;15.49;36.851;4.667454095;0.402689126;3.839721982;5.495186208;7.533824333;0.440793767;6.627767736;8.439887805;17.8163789;3.537270443;10.54509607;25.08698097;3.896204435
Co;SM_VG1-2_13;VG;SM;15.52;5.3764;4.3391;26.7008;55.777;7.0221;41.1738;70.3802;200.456;74.494;45.538;355.375;9.937996;3.442695985;2.778476704;17.09745126;35.3924971;4.455773059;26.12624553;44.65874867;126.8730288;47.14889755;28.82200575;224.9246848;12.91597938
Cu;SM_VG1-2_13;VG;SM;2.4999;0.15103;2.18581;2.81398;2.75401;0.47736;1.76128;3.74673;2.90803;0.86911;1.10062;4.71545;9.21493575;0.556714967;8.057161771;10.37267287;10.01347643;1.735662945;6.40394761;13.62296888;10.49748428;3.137336464;3.973047439;17.02195721;1.16325853
Ni;SM_VG1-2_13;VG;SM;10.787;10.082;-10.586;32.159;13.53562;6.83459;-0.95306;28.02431;16.985;33.007;-52.985;86.956;5.9657024;5.575805284;-5.854540243;17.785392;7.436763824;3.755072295;-0.523631879;15.39716502;9.282872;18.03943221;-28.95807907;47.5243696;1.574580514
Pb;SM_VG1-2_13;VG;SM;93.596;129.083;-174.846;362.038;128.45;109.762;-99.812;356.713;153.469;117.085;-90.022;396.96;50.2850792;69.35070813;-93.93718704;194.5073454;68.93894;58.90911586;-53.56896442;191.4473811;82.3291088;62.81075464;-48.29269124;212.9509088;1.639696141
Zn;SM_VG1-2_13;VG;SM;8.46527;0.92529;6.54104;10.38951;11.99946;0.44221;11.07984;12.91908;17.0091;1.3112;14.2823;19.736;6.260786501;0.684330581;4.837654905;7.683925493;7.661385998;0.282341164;7.07422926;8.248542736;9.64670633;0.743646715;8.100202469;11.19326691;2.009280271
Ag;SM_VG1-2_14;VG;SM;45.527;4.283;36.62;54.434;109.3085;3.8247;101.3545;117.2624;178.8518;7.0023;164.2898;193.4138;0.011490855;0.001081014;0.00924276;0.013738951;0.027448987;0.000960439;0.025451619;0.029446329;0.04484872;0.001755891;0.041197166;0.048500275;3.928477607
Cd;SM_VG1-2_14;VG;SM;6.55429;0.33242;5.86299;7.24559;12.7811;0.3889;11.9723;13.5899;41.9281;4.7828;31.9818;51.8744;4.557444611;0.231144142;4.076757693;5.038131529;8.76614549;0.266734004;8.211415578;9.320875402;28.46660279;3.247227225;21.71367644;35.21952914;6.39704682
Co;SM_VG1-2_14;VG;SM;6.6759;1.3354;3.8989;9.4529;34.5916;2.8489;28.667;40.5163;179.24;35.55;105.31;253.17;4.34587157;0.869317529;2.538102528;6.153640612;21.99696868;1.811629531;18.22948638;25.76451457;113.458152;22.50299768;66.66077877;160.2555252;26.84881439
