Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Zn;SM_GP2-4_13;GP;SM;EC95;9.77617754;3.07438787;9.42600686;10.12634822;2.127238191
Ag;SM_GP2-4_19;GP;SM;EC95;0.068685324;0.006087786;0.056233371;0.081137528;15.26988937
Cd;SM_GP2-4_19;GP;SM;EC95;37.26513104;6.07714493;24.89197046;49.63822403;12.45615626
Co;SM_GP2-4_19;GP;SM;EC95;46.0593981;5.68552558;34.49501048;57.62378572;14.09605896
Cu;SM_GP2-4_19;GP;SM;EC95;9.463699193;1.452687353;9.268864193;9.658534193;1.512766414
Ni;SM_GP2-4_19;GP;SM;EC95;22.77403304;1.73987024;19.55608952;25.99197656;5.991996035
Pb;SM_GP2-4_19;GP;SM;EC95;62.41346048;2.49193328;57.5389124;67.28806208;2.71892438
Zn;SM_GP2-4_19;GP;SM;EC95;8.328545159;3.069342971;7.988852651;8.668237667;2.102875928
Ag;SM_GP2-4_20;GP;SM;EC95;0.027447085;0.001298683;0.024954318;0.029939853;1.838371011
Cd;SM_GP2-4_20;GP;SM;EC95;35.6209367;4.21578392;27.11865542;44.12328557;12.42687706
Co;SM_GP2-4_20;GP;SM;EC95;75.72343645;5.42792656;64.69479662;86.75213951;14.77839484
Cu;SM_GP2-4_20;GP;SM;EC95;9.869989875;1.47373896;9.631376708;10.10860619;1.341590213
Ni;SM_GP2-4_20;GP;SM;EC95;13.23377192;0.93974624;11.6797652;14.78783216;5.482528968
Pb;SM_GP2-4_20;GP;SM;EC95;69.27873848;2.06719856;65.30455736;73.2529196;3.090706444
Zn;SM_GP2-4_20;GP;SM;EC95;8.368932092;3.039129059;8.092068986;8.645791235;2.033570156
Ag;SM_GP2-4_16;GP;SM;EC95;0.026498852;0.004567321;0.017028282;0.035969423;58.5261815
Cd;SM_GP2-4_16;GP;SM;EC95;10.56246464;5.061551108;0.301342865;20.82359318;1.695506112
Co;SM_GP2-4_16;GP;SM;EC95;69.3937973;22.4360378;22.994991;115.7932359;15.35381424
Cu;SM_GP2-4_16;GP;SM;EC95;10.75287525;1.92370725;9.578523;11.9272275;1.680666127
Ni;SM_GP2-4_16;GP;SM;EC95;7.58296976;5.58908216;0.0001;18.80579264;1.016728515
Pb;SM_GP2-4_16;GP;SM;EC95;82.49464616;41.2174532;0.0001;167.8107176;1.586308167
Zn;SM_GP2-4_16;GP;SM;EC95;8.83460837;4.46349863;5.59560884;12.07356827;1.305446961
Ag;TB_GP2-4_11;GP;TB;EC95;0.61876954;0.93895048;0.0001;2.57120524;137.6398553
Cd;TB_GP2-4_11;GP;TB;EC95;3.83896967;0.90955148;2.21234873;5.46559061;1.265384376
Co;TB_GP2-4_11;GP;TB;EC95;43.7021837;11.3632002;20.3304788;67.0745209;4.601410087
Cu;TB_GP2-4_11;GP;TB;EC95;8.977874978;1.492307993;8.700643628;9.255106328;1.475993807
Ni;TB_GP2-4_11;GP;TB;EC95;23.5547828;9.04706288;5.14074512;41.96882048;46.40883449
Pb;TB_GP2-4_11;GP;TB;EC95;44.69438;5.6130056;33.2031008;56.1856592;2.913924459
Zn;TB_GP2-4_11;GP;TB;EC95;8.80112102;3.59932685;7.35926273;10.24301894;2.344317842
Ag;TB_GP2-4_13;GP;TB;EC95;0.224672014;0.054460954;0.111621646;0.33771988;43.34164849
Cd;TB_GP2-4_13;GP;TB;EC95;4.151654528;0.516907652;3.341635691;4.961673365;1.988863019
Co;TB_GP2-4_13;GP;TB;EC95;77.119871;23.039252;29.4659492;124.7737928;9.805374153
Cu;TB_GP2-4_13;GP;TB;EC95;11.61857115;2.325287325;9.6090681;13.6280742;1.12675755
Ni;TB_GP2-4_13;GP;TB;EC95;29.7333992;8.4035384;12.657308;46.8100256;14.99035876
Pb;TB_GP2-4_13;GP;TB;EC95;38.670704;2.35251368;34.09169336;43.24976816;2.183910839
Zn;TB_GP2-4_13;GP;TB;EC95;10.54610918;4.16231063;7.9334618;13.15875656;1.096465235
Ag;TB_GP2-4_16;GP;TB;EC95;0.268236838;0.034129702;0.197465266;0.339005908;19.96962695
Cd;TB_GP2-4_16;GP;TB;EC95;5.71134785;0.83743295;4.23477671;7.18791899;2.873275391
Co;TB_GP2-4_16;GP;TB;EC95;176.7747771;90.3210304;0.0001;364.348469;102.5812658
Cu;TB_GP2-4_16;GP;TB;EC95;11.09741895;3.382487175;6.88936005;15.30547785;1.160734284
Ni;TB_GP2-4_16;GP;TB;EC95;34.2448676;3.71433008;26.92086968;41.56886552;19.63035067
Pb;TB_GP2-4_16;GP;TB;EC95;101.029532;11.653808;76.7330576;125.3260064;25.3877353
Zn;TB_GP2-4_16;GP;TB;EC95;18.0315821;7.792379;7.8696575;28.1931104;6.098913391
Ag;TB_GP2-4_9;GP;TB;EC95;0.312714892;0.048798928;0.211441438;0.413990848;81.16538911
Cd;TB_GP2-4_9;GP;TB;EC95;15.44023893;7.41103358;0.468519971;30.41196465;10.0648079
Co;TB_GP2-4_9;GP;TB;EC95;496.897518;285.899008;0.0001;1091.202611;1510.477948
Cu;TB_GP2-4_9;GP;TB;EC95;11.50845795;1.828772325;10.53148613;12.48539835;1.307555282
Ni;TB_GP2-4_9;GP;TB;EC95;235.905284;156.813428;0.0001;567.921956;NA
Pb;TB_GP2-4_9;GP;TB;EC95;492.838748;737.419796;0.0001;2055.686972;2150.577076
Zn;TB_GP2-4_9;GP;TB;EC95;20.0852087;7.1158949;11.3301491;28.8402683;12.74078733
